policy_unit,province,batch,level,wave,n_total,n_60plus
合肥市,安徽省,2,prefecture_city,2010,128,32
合肥市,安徽省,2,prefecture_city,2012,142,42
合肥市,安徽省,2,prefecture_city,2014,161,53
合肥市,安徽省,2,prefecture_city,2018,168,61
合肥市,安徽省,2,prefecture_city,2020,90,34
朝阳区,北京市,2,municipal_district,2010,0,0
朝阳区,北京市,2,municipal_district,2012,0,0
朝阳区,北京市,2,municipal_district,2014,0,0
朝阳区,北京市,2,municipal_district,2018,0,0
朝阳区,北京市,2,municipal_district,2020,0,0
东城区,北京市,1,municipal_district,2010,0,0
东城区,北京市,1,municipal_district,2012,0,0
东城区,北京市,1,municipal_district,2014,0,0
东城区,北京市,1,municipal_district,2018,0,0
东城区,北京市,1,municipal_district,2020,0,0
海淀区,北京市,1,municipal_district,2010,0,0
海淀区,北京市,1,municipal_district,2012,0,0
海淀区,北京市,1,municipal_district,2014,0,0
海淀区,北京市,1,municipal_district,2018,0,0
海淀区,北京市,1,municipal_district,2020,0,0
垫江县,重庆市,1,county,2010,0,0
垫江县,重庆市,1,county,2012,0,0
垫江县,重庆市,1,county,2014,0,0
垫江县,重庆市,1,county,2018,0,0
垫江县,重庆市,1,county,2020,0,0
九龙坡区,重庆市,1,municipal_district,2010,79,33
九龙坡区,重庆市,1,municipal_district,2012,87,35
九龙坡区,重庆市,1,municipal_district,2014,78,34
九龙坡区,重庆市,1,municipal_district,2018,96,46
九龙坡区,重庆市,1,municipal_district,2020,57,36
沙坪坝区,重庆市,2,municipal_district,2010,0,0
沙坪坝区,重庆市,2,municipal_district,2012,0,0
沙坪坝区,重庆市,2,municipal_district,2014,0,0
沙坪坝区,重庆市,2,municipal_district,2018,0,0
沙坪坝区,重庆市,2,municipal_district,2020,0,0
东莞市,广东省,1,prefecture_city,2010,144,14
东莞市,广东省,1,prefecture_city,2012,162,16
东莞市,广东省,1,prefecture_city,2014,200,26
东莞市,广东省,1,prefecture_city,2018,240,42
东莞市,广东省,1,prefecture_city,2020,216,30
广州市,广东省,2,sub_provincial_city,2010,251,50
广州市,广东省,2,sub_provincial_city,2012,218,52
广州市,广东省,2,sub_provincial_city,2014,222,65
广州市,广东省,2,sub_provincial_city,2018,304,102
广州市,广东省,2,sub_provincial_city,2020,212,56
江门市,广东省,1,prefecture_city,2010,70,9
江门市,广东省,1,prefecture_city,2012,65,12
江门市,广东省,1,prefecture_city,2014,77,16
江门市,广东省,1,prefecture_city,2018,74,15
江门市,广东省,1,prefecture_city,2020,46,9
陇南市,甘肃省,2,prefecture_city,2010,449,66
陇南市,甘肃省,2,prefecture_city,2012,539,88
