policy_unit,province,batch,level,reason
池州市,安徽省,1,prefecture_city,CFPS抽样未覆盖该地区
芜湖市,安徽省,1,prefecture_city,CFPS抽样未覆盖该地区
三明市,福建省,1,prefecture_city,CFPS抽样未覆盖该地区
厦门市,福建省,1,sub_provincial_city,CFPS抽样未覆盖该地区
漳州市,福建省,2,prefecture_city,CFPS抽样未覆盖该地区
深圳市,广东省,2,sub_provincial_city,CFPS抽样未覆盖该地区
百色市,广西壮族自治区,2,prefecture_city,CFPS抽样未覆盖该地区
贺州市,广西壮族自治区,1,prefecture_city,CFPS抽样未覆盖该地区
南宁市,广西壮族自治区,1,prefecture_city,CFPS抽样未覆盖该地区
贵阳市,贵州省,1,prefecture_city,CFPS抽样未覆盖该地区
铜仁市,贵州省,1,prefecture_city,CFPS抽样未覆盖该地区
濮阳市,河南省,2,prefecture_city,CFPS抽样未覆盖该地区
保定市,河北省,2,prefecture_city,CFPS抽样未覆盖该地区
儋州市,海南省,2,prefecture_city,CFPS抽样未覆盖该地区
海口市,海南省,2,prefecture_city,CFPS抽样未覆盖该地区
三亚市,海南省,2,prefecture_city,CFPS抽样未覆盖该地区
齐齐哈尔市,黑龙江省,1,prefecture_city,CFPS抽样未覆盖该地区
伊春市,黑龙江省,2,prefecture_city,CFPS抽样未覆盖该地区
随州市,湖北省,1,prefecture_city,CFPS抽样未覆盖该地区
咸宁市,湖北省,1,prefecture_city,CFPS抽样未覆盖该地区
长春市,吉林省,2,prefecture_city,CFPS抽样未覆盖该地区
南京市,江苏省,2,prefecture_city,CFPS抽样未覆盖该地区
南通市,江苏省,1,prefecture_city,CFPS抽样未覆盖该地区
苏州市,江苏省,1,prefecture_city,CFPS抽样未覆盖该地区
南昌市,江西省,1,prefecture_city,CFPS抽样未覆盖该地区
呼和浩特市,内蒙古自治区,1,prefecture_city,CFPS抽样未覆盖该地区
鄂尔多斯市,内蒙古自治区,1,prefecture_city,CFPS抽样未覆盖该地区
乌海市,内蒙古自治区,2,prefecture_city,CFPS抽样未覆盖该地区
银川市,宁夏回族自治区,2,prefecture_city,CFPS抽样未覆盖该地区
海东市,青海省,1,prefecture_city,CFPS抽样未覆盖该地区
海南藏族自治州,青海省,2,autonomous_prefecture,CFPS抽样未覆盖该地区
西宁市,青海省,1,prefecture_city,CFPS抽样未覆盖该地区
攀枝花市,四川省,1,prefecture_city,CFPS抽样未覆盖该地区
雅安市,四川省,1,prefecture_city,CFPS抽样未覆盖该地区
青岛市,山东省,1,sub_provincial_city,CFPS抽样未覆盖该地区
威海市,山东省,2,prefecture_city,CFPS抽样未覆盖该地区
安康市,陕西省,1,prefecture_city,CFPS抽样未覆盖该地区
铜川市,陕西省,1,prefecture_city,CFPS抽样未覆盖该地区
巴音郭楞蒙古自治州,新疆维吾尔自治区,2,autonomous_prefecture,CFPS抽样未覆盖该地区
克拉玛依市,新疆维吾尔自治区,1,prefecture_city,CFPS抽样未覆盖该地区
乌鲁木齐市,新疆维吾尔自治区,1,prefecture_city,CFPS抽样未覆盖该地区
昆明市,云南省,2,prefecture_city,CFPS抽样未覆盖该地区
曲靖市,云南省,2,prefecture_city,CFPS抽样未覆盖该地区
西双版纳傣族自治州,云南省,2,autonomous_prefecture,CFPS抽样未覆盖该地区
嘉兴市,浙江省,1,prefecture_city,CFPS抽样未覆盖该地区
温州市,浙江省,2,prefecture_city,CFPS抽样未覆盖该地区
