policy_unit_id,province_name,province_code,prefecture_name,prefecture_code,county_name,county_code,policy_unit_name_original,policy_unit_name_standard,policy_level,batch,announcement_date,post_start_year,notes
BJ-DC,北京市,11,东城区,110101,东城区,110101,东城区,东城区,municipal_district,1,2016-06-16,2017,直辖市辖区
BJ-HD,北京市,11,海淀区,110108,海淀区,110108,海淀区,海淀区,municipal_district,1,2016-06-16,2017,直辖市辖区
BJ-CY,北京市,11,朝阳区,110105,朝阳区,110105,朝阳区,朝阳区,municipal_district,2,2016-09-14,2017,直辖市辖区
TJ-NK,天津市,12,南开区,120104,南开区,120104,南开区,南开区,municipal_district,2,2016-09-14,2017,直辖市辖区
TJ-JN,天津市,12,津南区,120112,津南区,120112,津南区,津南区,municipal_district,2,2016-09-14,2017,直辖市辖区
TJ-BC,天津市,12,北辰区,120113,北辰区,120113,北辰区,北辰区,municipal_district,2,2016-09-14,2017,直辖市辖区
HEB-SJZ,河北省,13,石家庄市,130100,石家庄市,130100,石家庄市,石家庄市,prefecture_city,1,2016-06-16,2017,
HEB-HD,河北省,13,邯郸市,130400,邯郸市,130400,邯郸市,邯郸市,prefecture_city,1,2016-06-16,2017,
HEB-XT,河北省,13,邢台市,130500,邢台市,130500,邢台市,邢台市,prefecture_city,2,2016-09-14,2017,
HEB-BD,河北省,13,保定市,130600,保定市,130600,保定市,保定市,prefecture_city,2,2016-09-14,2017,
SX-TY,山西省,14,太原市,140100,太原市,140100,太原市,太原市,prefecture_city,1,2016-06-16,2017,
SX-DT,山西省,14,大同市,140200,大同市,140200,大同市,大同市,prefecture_city,1,2016-06-16,2017,
SX-LL,山西省,14,吕梁市,141100,吕梁市,141100,吕梁市,吕梁市,prefecture_city,2,2016-09-14,2017,
NMG-HHHT,内蒙古自治区,15,呼和浩特市,150100,呼和浩特市,150100,呼和浩特市,呼和浩特市,prefecture_city,1,2016-06-16,2017,
NMG-ORD,内蒙古自治区,15,鄂尔多斯市,150600,鄂尔多斯市,150600,鄂尔多斯市,鄂尔多斯市,prefecture_city,1,2016-06-16,2017,
NMG-WH,内蒙古自治区,15,乌海市,150300,乌海市,150300,乌海市,乌海市,prefecture_city,2,2016-09-14,2017,
LN-SY,辽宁省,21,沈阳市,210100,沈阳市,210100,沈阳市,沈阳市,prefecture_city,1,2016-06-16,2017,
LN-DL,辽宁省,21,大连市,210200,大连市,210200,大连市,大连市,prefecture_city,1,2016-06-16,2017,
LN-LY,辽宁省,21,辽阳市,211000,辽阳市,211000,辽阳市,辽阳市,prefecture_city,2,2016-09-14,2017,
JL-CC,吉林省,22,长春市,220100,长春市,220100,长春市,长春市,prefecture_city,2,2016-09-14,2017,
JL-GL,吉林省,22,公主岭市,220381,公主岭市,220381,公主岭市,公主岭市,county_level_city,2,2016-09-14,2017,省直管县级市
JL-MHK,吉林省,22,梅河口市,220581,梅河口市,220581,梅河口市,梅河口市,county_level_city,2,2016-09-14,2017,省直管县级市
HLJ-HB,黑龙江省,23,哈尔滨市,230100,哈尔滨市,230100,哈尔滨市,哈尔滨市,prefecture_city,1,2016-06-16,2017,
HLJ-QQHE,黑龙江省,23,齐齐哈尔市,230200,齐齐哈尔市,230200,齐齐哈尔市,齐齐哈尔市,prefecture_city,1,2016-06-16,2017,
HLJ-YC,黑龙江省,23,伊春市,230700,伊春市,230700,伊春市,伊春市,prefecture_city,2,2016-09-14,2017,
SH-XH,上海市,31,徐汇区,310104,徐汇区,310104,徐汇区,徐汇区,municipal_district,1,2016-06-16,2017,直辖市辖区
SH-PT,上海市,31,普陀区,310107,普陀区,310107,普陀区,普陀区,municipal_district,1,2016-06-16,2017,直辖市辖区
SH-SJ,上海市,31,松江区,310117,松江区,310117,松江区,松江区,municipal_district,2,2016-09-14,2017,直辖市辖区
JS-SZ,江苏省,32,苏州市,320500,苏州市,320500,苏州市,苏州市,prefecture_city,1,2016-06-16,2017,
JS-NT,江苏省,32,南通市,320600,南通市,320600,南通市,南通市,prefecture_city,1,2016-06-16,2017,
JS-NJ,江苏省,32,南京市,320100,南京市,320100,南京市,南京市,prefecture_city,2,2016-09-14,2017,
ZJ-HZ,浙江省,33,杭州市,330100,杭州市,330100,杭州市,杭州市,prefecture_city,1,2016-06-16,2017,
ZJ-JX,浙江省,33,嘉兴市,330400,嘉兴市,330400,嘉兴市,嘉兴市,prefecture_city,1,2016-06-16,2017,
ZJ-WZ,浙江省,33,温州市,330300,温州市,330300,温州市,温州市,prefecture_city,2,2016-09-14,2017,
AH-CZ,安徽省,34,池州市,341700,池州市,341700,池州市,池州市,prefecture_city,1,2016-06-16,2017,
AH-WH,安徽省,34,芜湖市,340200,芜湖市,340200,芜湖市,芜湖市,prefecture_city,1,2016-06-16,2017,
AH-HF,安徽省,34,合肥市,340100,合肥市,340100,合肥市,合肥市,prefecture_city,2,2016-09-14,2017,
FJ-XM,福建省,35,厦门市,350200,厦门市,350200,厦门市,厦门市,sub_provincial_city,1,2016-06-16,2017,
FJ-SM,福建省,35,三明市,350400,三明市,350400,三明市,三明市,prefecture_city,1,2016-06-16,2017,
FJ-ZZ,福建省,35,漳州市,350600,漳州市,350600,漳州市,漳州市,prefecture_city,2,2016-09-14,2017,
JX-NC,江西省,36,南昌市,360100,南昌市,360100,南昌市,南昌市,prefecture_city,1,2016-06-16,2017,
JX-GZ,江西省,36,赣州市,360700,赣州市,360700,赣州市,赣州市,prefecture_city,1,2016-06-16,2017,
JX-FZ,江西省,36,抚州市,361000,抚州市,361000,抚州市,抚州市,prefecture_city,2,2016-09-14,2017,
SD-QD,山东省,37,青岛市,370200,青岛市,370200,青岛市,青岛市,sub_provincial_city,1,2016-06-16,2017,
SD-YT,山东省,37,烟台市,370600,烟台市,370600,烟台市,烟台市,prefecture_city,1,2016-06-16,2017,
SD-WH,山东省,37,威海市,371000,威海市,371000,威海市,威海市,prefecture_city,2,2016-09-14,2017,
HA-ZZ,河南省,41,郑州市,410100,郑州市,410100,郑州市,郑州市,prefecture_city,1,2016-06-16,2017,
HA-LY,河南省,41,洛阳市,410300,洛阳市,410300,洛阳市,洛阳市,prefecture_city,1,2016-06-16,2017,
HA-PY,河南省,41,濮阳市,410900,濮阳市,410900,濮阳市,濮阳市,prefecture_city,2,2016-09-14,2017,
HUB-XN,湖北省,42,咸宁市,421200,咸宁市,421200,咸宁市,咸宁市,prefecture_city,1,2016-06-16,2017,
HUB-SZ,湖北省,42,随州市,421300,随州市,421300,随州市,随州市,prefecture_city,1,2016-06-16,2017,
HUN-CS,湖南省,43,长沙市,430100,长沙市,430100,长沙市,长沙市,prefecture_city,1,2016-06-16,2017,
HUN-XT,湖南省,43,湘潭市,430300,湘潭市,430300,湘潭市,湘潭市,prefecture_city,1,2016-06-16,2017,
HUN-YUE,湖南省,43,岳阳市,430600,岳阳市,430600,岳阳市,岳阳市,prefecture_city,2,2016-09-14,2017,
GD-DG,广东省,44,东莞市,441900,东莞市,441900,东莞市,东莞市,prefecture_city,1,2016-06-16,2017,
GD-JM,广东省,44,江门市,440700,江门市,440700,江门市,江门市,prefecture_city,1,2016-06-16,2017,
GD-GZ,广东省,44,广州市,440100,广州市,440100,广州市,广州市,sub_provincial_city,2,2016-09-14,2017,
GD-SZ,广东省,44,深圳市,440300,深圳市,440300,深圳市,深圳市,sub_provincial_city,2,2016-09-14,2017,
GX-NN,广西壮族自治区,45,南宁市,450100,南宁市,450100,南宁市,南宁市,prefecture_city,1,2016-06-16,2017,
GX-HZ,广西壮族自治区,45,贺州市,451100,贺州市,451100,贺州市,贺州市,prefecture_city,1,2016-06-16,2017,
GX-BS,广西壮族自治区,45,百色市,451000,百色市,451000,百色市,百色市,prefecture_city,2,2016-09-14,2017,
HI-HK,海南省,46,海口市,460100,海口市,460100,海口市,海口市,prefecture_city,2,2016-09-14,2017,
HI-SY,海南省,46,三亚市,460200,三亚市,460200,三亚市,三亚市,prefecture_city,2,2016-09-14,2017,
HI-DZ,海南省,46,儋州市,460400,儋州市,460400,儋州市,儋州市,prefecture_city,2,2016-09-14,2017,
CQ-JLP,重庆市,50,九龙坡区,500107,九龙坡区,500107,九龙坡区,九龙坡区,municipal_district,1,2016-06-16,2017,直辖市辖区
CQ-DJ,重庆市,50,垫江县,500231,垫江县,500231,垫江县,垫江县,county,1,2016-06-16,2017,直辖市下辖县
CQ-SPB,重庆市,50,沙坪坝区,500106,沙坪坝区,500106,沙坪坝区,沙坪坝区,municipal_district,2,2016-09-14,2017,直辖市辖区
SC-YA,四川省,51,雅安市,511800,雅安市,511800,雅安市,雅安市,prefecture_city,1,2016-06-16,2017,
SC-PZH,四川省,51,攀枝花市,510400,攀枝花市,510400,攀枝花市,攀枝花市,prefecture_city,1,2016-06-16,2017,
SC-DY,四川省,51,德阳市,510600,德阳市,510600,德阳市,德阳市,prefecture_city,2,2016-09-14,2017,
SC-GY,四川省,51,广元市,510800,广元市,510800,广元市,广元市,prefecture_city,2,2016-09-14,2017,
GZ-GY,贵州省,52,贵阳市,520100,贵阳市,520100,贵阳市,贵阳市,prefecture_city,1,2016-06-16,2017,
GZ-TR,贵州省,52,铜仁市,522200,铜仁市,522200,铜仁市,铜仁市,prefecture_city,1,2016-06-16,2017,
GZ-ZY,贵州省,52,遵义市,520300,遵义市,520300,遵义市,遵义市,prefecture_city,2,2016-09-14,2017,
YN-KM,云南省,53,昆明市,530100,昆明市,530100,昆明市,昆明市,prefecture_city,2,2016-09-14,2017,
YN-QJ,云南省,53,曲靖市,530300,曲靖市,530300,曲靖市,曲靖市,prefecture_city,2,2016-09-14,2017,
YN-XSBN,云南省,53,西双版纳傣族自治州,532800,西双版纳傣族自治州,532800,西双版纳州,西双版纳傣族自治州,autonomous_prefecture,2,2016-09-14,2017,
SX-AK,陕西省,61,安康市,610900,安康市,610900,安康市,安康市,prefecture_city,1,2016-06-16,2017,
SX-TC,陕西省,61,铜川市,610200,铜川市,610200,铜川市,铜川市,prefecture_city,1,2016-06-16,2017,
SX-XA,陕西省,61,西安市,610100,西安市,610100,西安市,西安市,sub_provincial_city,2,2016-09-14,2017,
GS-LZ,甘肃省,62,兰州市,620100,兰州市,620100,兰州市,兰州市,prefecture_city,1,2016-06-16,2017,
GS-QY,甘肃省,62,庆阳市,620800,庆阳市,620800,庆阳市,庆阳市,prefecture_city,1,2016-06-16,2017,
GS-LN,甘肃省,62,陇南市,621200,陇南市,621200,陇南市,陇南市,prefecture_city,2,2016-09-14,2017,
